Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 py3k.py:4(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:10(<module>)
        1    0.001    0.001    0.001    0.001 nx_pydot.py:15(<module>)
      236    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
        1    0.001    0.001    0.001    0.001 bdf.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {nt.open}
        1    0.001    0.001    0.007    0.007 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:48(<module>)
      868    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     1756    0.001    0.000    0.001    0.000 {hasattr}
      123    0.001    0.000    0.001    0.000 inspect.py:845(formatargspec)
        1    0.001    0.001    0.001    0.001 lsq_linear.py:1(<module>)
        1    0.001    0.001    0.001    0.001 suite.py:252(_ErrorHolder)
        1    0.001    0.001    0.001    0.001 newbytes.py:6(<module>)
        1    0.001    0.001    0.013    0.013 tokenize.py:23(<module>)
        1    0.001    0.001    0.001    0.001 _numdiff.py:1(<module>)
     1540    0.001    0.000    0.001    0.000 {range}
      118    0.001    0.000    0.010    0.000 decorator.py:246(decorator)
     4813    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
       11    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
        1    0.001    0.001    0.016    0.016 decorators.py:15(<module>)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
     1453    0.001    0.000    0.001    0.000 artist.py:973(is_alias)
        6    0.001    0.000    0.001    0.000 __init__.py:219(_releaseLock)
      973    0.001    0.000    0.001    0.000 pickle.py:1006(load_tuple2)
      581    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        1    0.001    0.001    0.001    0.001 triangulate.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _ccallback.py:1(<module>)
       11    0.001    0.000    0.013    0.001 artist.py:1018(pprint_setters)
        1    0.001    0.001    0.002    0.002 sysconfig.py:10(<module>)
     4752    0.001    0.000    0.001    0.000 kmeantools.py:341(<lambda>)
      429    0.001    0.000    0.007    0.000 pyparsing.py:1144(copy)
        1    0.001    0.001    0.001    0.001 trf.py:95(<module>)
       96    0.001    0.000    0.005    0.000 sre_compile.py:359(_compile_info)
        1    0.001    0.001    0.072    0.072 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.001    0.001 greedy_coloring.py:4(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.001    0.001 _trustregion_dogleg.py:1(<module>)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
       11    0.001    0.000    0.001    0.000 {open}
        1    0.001    0.001    0.001    0.001 ticker.py:123(<module>)
      283    0.001    0.000    0.002    0.000 function_base.py:4514(add_newdoc)
        1    0.001    0.001    0.003    0.003 lines.py:4(<module>)
        2    0.001    0.000    0.001    0.001 _version.py:7(<module>)
        2    0.001    0.000    0.001    0.000 function_base.py:1(<module>)
        1    0.001    0.001    0.053    0.053 matfuncs.py:3(<module>)
        1    0.001    0.001    0.002    0.002 optimize.py:17(<module>)
        1    0.001    0.001    0.005    0.005 newrange.py:19(<module>)
