Thu Oct 05 08:35:37 2017    prof.txt

         3422957 function calls (3419664 primitive calls) in 5.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 branchings.py:10(<module>)
        1    0.000    0.000    0.002    0.002 cycles.py:5(<module>)
       22    0.000    0.000    0.001    0.000 index_tricks.py:247(__getitem__)
       96    0.000    0.000    0.052    0.001 sre_compile.py:493(compile)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<module>)
      172    0.000    0.000    0.003    0.000 cbook.py:1078(dedent)
      407    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 patcomp.py:9(<module>)
     1083    0.000    0.000    0.001    0.000 inspect.py:142(isfunction)
     2626    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      140    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 decimal.py:116(<module>)
      423    0.000    0.000    0.001    0.000 pickle.py:1168(load_binput)
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:32(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_ip.py:3(<module>)
        1    0.000    0.000    0.000    0.000 betweenness.py:4(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:11(<module>)
        1    0.000    0.000    0.001    0.001 geo.py:1(<module>)
      653    0.000    0.000    0.000    0.000 six.py:184(find_module)
      934    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      117    0.000    0.000    0.016    0.000 decorator.py:233(decorate)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
        1    0.000    0.000    0.001    0.001 correlation.py:3(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 density.py:3(<module>)
     5532    0.000    0.000    0.000    0.000 {ord}
       24    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
      652    0.000    0.000    0.001    0.000 <string>:8(__new__)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.000    0.000 release.py:134(get_info)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
       44    0.000    0.000    0.000    0.000 function_base.py:1843(diff)
      264    0.000    0.000    0.001    0.000 pickle.py:1185(load_appends)
     2179    0.000    0.000    0.000    0.000 {repr}
        8    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
      384    0.000    0.000    0.001    0.000 pickle.py:933(load_binint2)
      769    0.000    0.000    0.001    0.000 copy_reg.py:46(_reconstructor)
        1    0.000    0.000    0.002    0.002 texmanager.py:35(<module>)
      485    0.000    0.000    0.000    0.000 urllib.py:1203(<genexpr>)
        1    0.000    0.000    0.001    0.001 _mathtext_data.py:3(<module>)
        1    0.000    0.000    0.000    0.000 color_diff.py:4(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:6(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:331(<genexpr>)
       68    0.000    0.000    0.001    0.000 pickle.py:1201(load_setitems)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:2(<module>)
        1    0.000    0.000    0.000    0.000 weighted.py:4(<module>)
        1    0.000    0.000    0.000    0.000 generators.py:5(<module>)
        6    0.000    0.000    0.001    0.000 patches.py:1610(_pprint_styles)
        1    0.000    0.000    0.000    0.000 geometric.py:4(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
   121/59    0.000    0.000    0.005    0.000 pyparsing.py:3341(copy)
        1    0.000    0.000    0.001    0.001 nx_agraph.py:17(<module>)
        1    0.000    0.000    0.002    0.002 sparse6.py:13(<module>)
      652    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:48(<module>)
      273    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 newint.py:7(<module>)
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
        1    0.000    0.000    0.000    0.000 edmondskarp.py:4(<module>)
        1    0.000    0.000    0.000    0.000 chordal_alg.py:8(<module>)
       22    0.000    0.000    0.004    0.000 traceback.py:280(extract_stack)
    36/25    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.002    0.002 nonlin.py:106(<module>)
  199/117    0.000    0.000    0.001    0.000 pyparsing.py:131(_ustr)
      123    0.000    0.000    0.001    0.000 tokenize.py:264(generate_tokens)
        1    0.000    0.000    0.001    0.001 FixTk.py:21(convert_path)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
      347    0.000    0.000    0.000    0.000 inspect.py:838(strseq)
       98    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
    58/10    0.000    0.000    0.005    0.001 pyparsing.py:3266(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 link_prediction.py:3(<module>)
      652    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
      586    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        9    0.000    0.000    0.000    0.000 {nt.putenv}
       11    0.000    0.000    0.000    0.000 {eval}
        6    0.000    0.000    0.000    0.000 patches.py:1573(_pprint_table)
        1    0.000    0.000    0.000    0.000 pytree.py:11(<module>)
        1    0.000    0.000    0.000    0.000 lsoda.py:1(<module>)
      142    0.000    0.000    0.000    0.000 colors.py:668(__init__)
        1    0.000    0.000    0.000    0.000 htmlentitydefs.py:1(<module>)
